name,time,addr,device,mean,rssi
rssi,1675256704865874000,d74adea29cf7,rasp0,-49,-49
rssi,1675256705932199000,d74adea29cf7,rasp0,-49,-49
rssi,1675256706804003000,d74adea29cf7,rasp0,-53,-61
rssi,1675256707413832000,d74adea29cf7,rasp0,-52.5,-51
rssi,1675256708801259000,d74adea29cf7,rasp0,-51.8,-49
rssi,1675256709320823000,d74adea29cf7,rasp0,-51.666666666666664,-51
rssi,1675256709866625000,d74adea29cf7,rasp0,-51.285714285714285,-49
rssi,1675256710417153000,d74adea29cf7,rasp0,-51.5,-53
rssi,1675256710820132000,d74adea29cf7,rasp0,-52.666666666666664,-62
rssi,1675256711335230000,d74adea29cf7,rasp0,-52.3,-49
rssi,1675256711766763000,d74adea29cf7,rasp0,-52.3,-49
rssi,1675256712271007000,d74adea29cf7,rasp0,-53.3,-59
rssi,1675256712773771000,d74adea29cf7,rasp0,-52.1,-49
rssi,1675256713785518000,d74adea29cf7,rasp0,-53.3,-63
rssi,1675256714286923000,d74adea29cf7,rasp0,-53.3,-49
rssi,1675256714791332000,d74adea29cf7,rasp0,-53.4,-52
rssi,1675256715295194000,d74adea29cf7,rasp0,-53.4,-49
rssi,1675256716237848000,d74adea29cf7,rasp0,-53,-49
rssi,1675256716773341000,d74adea29cf7,rasp0,-52.6,-58
rssi,1675256717272034000,d74adea29cf7,rasp0,-53.3,-56
rssi,1675256718250547000,d74adea29cf7,rasp0,-54.1,-57
rssi,1675256718754962000,d74adea29cf7,rasp0,-53,-48
rssi,1675256719254341000,d74adea29cf7,rasp0,-53.3,-52
rssi,1675256719759708000,d74adea29cf7,rasp0,-51.8,-48
rssi,1675256720305735000,d74adea29cf7,rasp0,-52.1,-52
rssi,1675256720819939000,d74adea29cf7,rasp0,-51.9,-50
rssi,1675256721236807000,d74adea29cf7,rasp0,-52,-50
rssi,1675256721725450000,d74adea29cf7,rasp0,-52.6,-55
rssi,1675256722731707000,d74adea29cf7,rasp0,-51.8,-50
rssi,1675256725278275000,d74adea29cf7,rasp0,-51.6,-54
rssi,1675256725763647000,d74adea29cf7,rasp0,-51,-51
rssi,1675256726211645000,d74adea29cf7,rasp0,-51.8,-56
rssi,1675256726821223000,d74adea29cf7,rasp0,-52.1,-55
rssi,1675256727214482000,d74adea29cf7,rasp0,-52.5,-52
rssi,1675256727722480000,d74adea29cf7,rasp0,-52.4,-51
rssi,1675256728734507000,d74adea29cf7,rasp0,-52.4,-50
rssi,1675256729747891000,d74adea29cf7,rasp0,-52.6,-52
rssi,1675256730253679000,d74adea29cf7,rasp0,-52,-49
rssi,1675256730755887000,d74adea29cf7,rasp0,-52,-50
rssi,1675256731206302000,d74adea29cf7,rasp0,-51.7,-51
rssi,1675256731715606000,d74adea29cf7,rasp0,-52.1,-55
rssi,1675256733229277000,d74adea29cf7,rasp0,-51.5,-50
rssi,1675256733734069000,d74adea29cf7,rasp0,-51.5,-55
rssi,1675256734740904000,d74adea29cf7,rasp0,-51.8,-55
rssi,1675256735244596000,d74adea29cf7,rasp0,-51.6,-49
rssi,1675256735781079000,d74adea29cf7,rasp0,-52,-54
rssi,1675256736254861000,d74adea29cf7,rasp0,-52.2,-54
rssi,1675256737311883000,d74adea29cf7,rasp0,-52.2,-49
rssi,1675256738250663000,d74adea29cf7,rasp0,-52.3,-51
rssi,1675256740015849000,d74adea29cf7,rasp0,-52.7,-55
rssi,1675256740298820000,d74adea29cf7,rasp0,-52.2,-50
rssi,1675256740841318000,d74adea29cf7,rasp0,-52.6,-54
rssi,1675256741275843000,d74adea29cf7,rasp0,-52.2,-51
rssi,1675256741783396000,d74adea29cf7,rasp0,-52.1,-54
rssi,1675256742836870000,d74adea29cf7,rasp0,-52.6,-54
rssi,1675256743311811000,d74adea29cf7,rasp0,-52.2,-50
rssi,1675256744381317000,d74adea29cf7,rasp0,-52.2,-54
rssi,1675256744849539000,d74adea29cf7,rasp0,-52.4,-51
rssi,1675256745340208000,d74adea29cf7,rasp0,-52.8,-55
rssi,1675256745883539000,d74adea29cf7,rasp0,-52.4,-51
rssi,1675256746812328000,d74adea29cf7,rasp0,-52.8,-54
rssi,1675256747316030000,d74adea29cf7,rasp0,-52.9,-55
rssi,1675256747822382000,d74adea29cf7,rasp0,-52.9,-51
rssi,1675256748868950000,d74adea29cf7,rasp0,-53.1,-56
rssi,1675256749339291000,d74adea29cf7,rasp0,-52.5,-48
rssi,1675256749879743000,d74adea29cf7,rasp0,-52.9,-54
rssi,1675256751825475000,d74adea29cf7,rasp0,-52.9,-54
rssi,1675256752327994000,d74adea29cf7,rasp0,-52.6,-48
rssi,1675256752835115000,d74adea29cf7,rasp0,-52.6,-55
rssi,1675256753344441000,d74adea29cf7,rasp0,-52.6,-51
rssi,1675256753846624000,d74adea29cf7,rasp0,-52.2,-50
rssi,1675256754391053000,d74adea29cf7,rasp0,-51.4,-47
rssi,1675256754907262000,d74adea29cf7,rasp0,-51,-47
rssi,1675256756331145000,d74adea29cf7,rasp0,-50.2,-48
rssi,1675256758353049000,d74adea29cf7,rasp0,-50.3,-49
rssi,1675256758864739000,d74adea29cf7,rasp0,-50,-51
rssi,1675256759868399000,d74adea29cf7,rasp0,-49.5,-49
rssi,1675256760379985000,d74adea29cf7,rasp0,-49.5,-48
rssi,1675256760886579000,d74adea29cf7,rasp0,-50.5,-65
rssi,1675256761339037000,d74adea29cf7,rasp0,-50.3,-49
rssi,1675256761847416000,d74adea29cf7,rasp0,-53,-77
rssi,1675256762354268000,d74adea29cf7,rasp0,-53.2,-49
rssi,1675256762862482000,d74adea29cf7,rasp0,-54.5,-60
rssi,1675256763363014000,d74adea29cf7,rasp0,-54.9,-52
rssi,1675256763870031000,d74adea29cf7,rasp0,-54.9,-49
rssi,1675256764422304000,d74adea29cf7,rasp0,-55.6,-58
rssi,1675256765047410000,d74adea29cf7,rasp0,-56.5,-58
rssi,1675256765474111000,d74adea29cf7,rasp0,-56.9,-52
rssi,1675256766049118000,d74adea29cf7,rasp0,-55.6,-52
rssi,1675256766348005000,d74adea29cf7,rasp0,-55.9,-52
rssi,1675257007300123000,d74adea29cf7,rasp0,-55,-55
rssi,1675257007802782000,d74adea29cf7,rasp0,-55.5,-56
rssi,1675257008475779000,d74adea29cf7,rasp0,-56.666666666666664,-59
rssi,1675257008807028000,d74adea29cf7,rasp0,-57,-58
rssi,1675257009337613000,d74adea29cf7,rasp0,-56.6,-55
rssi,1675257009817245000,d74adea29cf7,rasp0,-56.5,-56
rssi,1675257010321422000,d74adea29cf7,rasp0,-56.42857142857143,-56
rssi,1675257010894369000,d74adea29cf7,rasp0,-56.5,-57
rssi,1675257011281185000,d74adea29cf7,rasp0,-56.44444444444444,-56
rssi,1675257012293369000,d74adea29cf7,rasp0,-56.4,-56
rssi,1675257013810237000,d74adea29cf7,rasp0,-57.6,-67
rssi,1675257014312631000,d74adea29cf7,rasp0,-57.7,-57
rssi,1675257016790385000,d74adea29cf7,rasp0,-58.7,-69
rssi,1675257017791406000,d74adea29cf7,rasp0,-59.7,-68
rssi,1675257018971796000,d74adea29cf7,rasp0,-59.7,-55
rssi,1675257019525550000,d74adea29cf7,rasp0,-60.9,-68
rssi,1675257019801311000,d74adea29cf7,rasp0,-60.8,-55
rssi,1675257020307202000,d74adea29cf7,rasp0,-62.1,-70
rssi,1675257021285906000,d74adea29cf7,rasp0,-62.1,-56
rssi,1675257022299428000,d74adea29cf7,rasp0,-62.1,-56
rssi,1675257022803348000,d74adea29cf7,rasp0,-62,-66
rssi,1675257023307379000,d74adea29cf7,rasp0,-62.2,-59
rssi,1675257023806457000,d74adea29cf7,rasp0,-60.8,-55
rssi,1675257024312340000,d74adea29cf7,rasp0,-60.2,-62
rssi,1675257026785830000,d74adea29cf7,rasp0,-60.2,-55
rssi,1675257027287191000,d74adea29cf7,rasp0,-59.4,-60
rssi,1675257029305319000,d74adea29cf7,rasp0,-59.5,-56
rssi,1675257029811735000,d74adea29cf7,rasp0,-58.7,-62
rssi,1675257030319003000,d74adea29cf7,rasp0,-59.1,-60
rssi,1675257030829114000,d74adea29cf7,rasp0,-59,-55
rssi,1675257032035144000,d74adea29cf7,rasp0,-58.3,-59
rssi,1675257032313794000,d74adea29cf7,rasp0,-58.6,-62
rssi,1675257032785530000,d74adea29cf7,rasp0,-59.2,-61
rssi,1675257033415035000,d74adea29cf7,rasp0,-58.5,-55
rssi,1675257033790597000,d74adea29cf7,rasp0,-59.1,-61
rssi,1675257034297598000,d74adea29cf7,rasp0,-59.1,-60
rssi,1675257034798054000,d74adea29cf7,rasp0,-59,-55
rssi,1675257035298459000,d74adea29cf7,rasp0,-58.5,-57
rssi,1675257036793445000,d74adea29cf7,rasp0,-58.8,-63
rssi,1675257037293252000,d74adea29cf7,rasp0,-59.6,-63
rssi,1675257037792505000,d74adea29cf7,rasp0,-59.3,-56
rssi,1675257038801022000,d74adea29cf7,rasp0,-58.7,-56
rssi,1675257039311261000,d74adea29cf7,rasp0,-58.7,-61
rssi,1675257039819875000,d74adea29cf7,rasp0,-59.5,-63
rssi,1675257040317278000,d74adea29cf7,rasp0,-59.3,-59
rssi,1675257040817743000,d74adea29cf7,rasp0,-59.2,-59
rssi,1675257041274661000,d74adea29cf7,rasp0,-59.2,-55
rssi,1675257042792589000,d74adea29cf7,rasp0,-59.5,-60
rssi,1675257043295754000,d74adea29cf7,rasp0,-58.8,-56
rssi,1675257043798716000,d74adea29cf7,rasp0,-58.5,-60
rssi,1675257044301026000,d74adea29cf7,rasp0,-58.5,-56
rssi,1675257044811427000,d74adea29cf7,rasp0,-59,-61
rssi,1675257045318884000,d74adea29cf7,rasp0,-58.8,-59
rssi,1675257046275908000,d74adea29cf7,rasp0,-58.2,-57
rssi,1675257047283569000,d74adea29cf7,rasp0,-58.3,-60
rssi,1675257047783300000,d74adea29cf7,rasp0,-58.1,-57
rssi,1675257048799233000,d74adea29cf7,rasp0,-58.7,-61
rssi,1675257049307852000,d74adea29cf7,rasp0,-58.7,-60
rssi,1675257049940132000,d74adea29cf7,rasp0,-59.3,-62
rssi,1675257050317338000,d74adea29cf7,rasp0,-59.4,-61
rssi,1675257050965394000,d74adea29cf7,rasp0,-59.9,-61
rssi,1675257051277134000,d74adea29cf7,rasp0,-59.8,-60
