name,time,addr,device,mean,rssi
rssi,1675255881307087000,d74adea29cf7,rasp0,-52,-52
rssi,1675255882832945000,d74adea29cf7,rasp0,-52.5,-53
rssi,1675255883335920000,d74adea29cf7,rasp0,-53.666666666666664,-56
rssi,1675255884928267000,d74adea29cf7,rasp0,-54.5,-57
rssi,1675255885344510000,d74adea29cf7,rasp0,-54.8,-56
rssi,1675255885849551000,d74adea29cf7,rasp0,-54.666666666666664,-54
rssi,1675255886809296000,d74adea29cf7,rasp0,-54.142857142857146,-51
rssi,1675255887315444000,d74adea29cf7,rasp0,-54,-53
rssi,1675255887919046000,d74adea29cf7,rasp0,-53.666666666666664,-51
rssi,1675255888339787000,d74adea29cf7,rasp0,-54.7,-64
rssi,1675255888824078000,d74adea29cf7,rasp0,-54.6,-51
rssi,1675255889331958000,d74adea29cf7,rasp0,-54.6,-53
rssi,1675255889834359000,d74adea29cf7,rasp0,-54.2,-52
rssi,1675255890843995000,d74adea29cf7,rasp0,-54,-55
rssi,1675255891812868000,d74adea29cf7,rasp0,-54.1,-57
rssi,1675255892819109000,d74adea29cf7,rasp0,-54.4,-57
rssi,1675255893828638000,d74adea29cf7,rasp0,-55.2,-59
rssi,1675255894457538000,d74adea29cf7,rasp0,-55,-51
rssi,1675255894841803000,d74adea29cf7,rasp0,-55.7,-58
rssi,1675255895842860000,d74adea29cf7,rasp0,-54.2,-49
rssi,1675255896436367000,d74adea29cf7,rasp0,-54.2,-51
rssi,1675255896867965000,d74adea29cf7,rasp0,-54,-51
rssi,1675255897319655000,d74adea29cf7,rasp0,-53.8,-50
rssi,1675255897966439000,d74adea29cf7,rasp0,-53.1,-48
rssi,1675255898328292000,d74adea29cf7,rasp0,-52.7,-53
rssi,1675255898881736000,d74adea29cf7,rasp0,-52,-50
rssi,1675255899337429000,d74adea29cf7,rasp0,-51,-49
rssi,1675255899993395000,d74adea29cf7,rasp0,-50.9,-50
rssi,1675255900347110000,d74adea29cf7,rasp0,-50.3,-52
rssi,1675255900856941000,d74adea29cf7,rasp0,-51.1,-57
rssi,1675255902370215000,d74adea29cf7,rasp0,-51.5,-55
rssi,1675255902829378000,d74adea29cf7,rasp0,-52.7,-63
rssi,1675255903330350000,d74adea29cf7,rasp0,-53.5,-58
rssi,1675255904456862000,d74adea29cf7,rasp0,-54.2,-55
rssi,1675255904842696000,d74adea29cf7,rasp0,-54.1,-52
rssi,1675255905350849000,d74adea29cf7,rasp0,-54.6,-55
rssi,1675255905859198000,d74adea29cf7,rasp0,-55.7,-60
rssi,1675255906821022000,d74adea29cf7,rasp0,-56.2,-55
rssi,1675255907341645000,d74adea29cf7,rasp0,-56.6,-56
rssi,1675255907863100000,d74adea29cf7,rasp0,-56.5,-56
rssi,1675255908344741000,d74adea29cf7,rasp0,-56.5,-55
rssi,1675255908844599000,d74adea29cf7,rasp0,-56.2,-60
rssi,1675255909346190000,d74adea29cf7,rasp0,-56.3,-59
rssi,1675255910358258000,d74adea29cf7,rasp0,-56.4,-56
rssi,1675255910859819000,d74adea29cf7,rasp0,-57.2,-60
rssi,1675255911310925000,d74adea29cf7,rasp0,-57.2,-55
rssi,1675255911810179000,d74adea29cf7,rasp0,-56.8,-56
rssi,1675255913326246000,d74adea29cf7,rasp0,-56.6,-53
rssi,1675255913826828000,d74adea29cf7,rasp0,-56.2,-52
rssi,1675255914325767000,d74adea29cf7,rasp0,-55.8,-52
rssi,1675255914828722000,d74adea29cf7,rasp0,-55.8,-55
rssi,1675255915327359000,d74adea29cf7,rasp0,-54.9,-51
rssi,1675255915832969000,d74adea29cf7,rasp0,-54.6,-56
rssi,1675255916314304000,d74adea29cf7,rasp0,-54.1,-51
rssi,1675255916809155000,d74adea29cf7,rasp0,-53.6,-55
rssi,1675255917396168000,d74adea29cf7,rasp0,-53.3,-52
rssi,1675255917810367000,d74adea29cf7,rasp0,-53.2,-55
rssi,1675255918819389000,d74adea29cf7,rasp0,-53.7,-58
rssi,1675255919473299000,d74adea29cf7,rasp0,-54.2,-57
rssi,1675255919833856000,d74adea29cf7,rasp0,-54,-50
rssi,1675255920568149000,d74adea29cf7,rasp0,-53.9,-54
rssi,1675255921804859000,d74adea29cf7,rasp0,-55.4,-66
rssi,1675255922312781000,d74adea29cf7,rasp0,-56.9,-71
rssi,1675255923322010000,d74adea29cf7,rasp0,-58.5,-67
rssi,1675255924836541000,d74adea29cf7,rasp0,-58.5,-55
rssi,1675255925843688000,d74adea29cf7,rasp0,-58.3,-50
rssi,1675255926313768000,d74adea29cf7,rasp0,-58.3,-55
rssi,1675255926822664000,d74adea29cf7,rasp0,-57.6,-51
rssi,1675255927835340000,d74adea29cf7,rasp0,-57.2,-53
rssi,1675255928343522000,d74adea29cf7,rasp0,-57.3,-51
rssi,1675255930429664000,d74adea29cf7,rasp0,-57.5,-56
rssi,1675255930865529000,d74adea29cf7,rasp0,-56.3,-54
rssi,1675255931305987000,d74adea29cf7,rasp0,-54.5,-53
rssi,1675255932364964000,d74adea29cf7,rasp0,-53.3,-55
rssi,1675255932825913000,d74adea29cf7,rasp0,-52.9,-51
rssi,1675255933489280000,d74adea29cf7,rasp0,-53.5,-56
rssi,1675255934011400000,d74adea29cf7,rasp0,-53.6,-56
rssi,1675255934344541000,d74adea29cf7,rasp0,-53.6,-51
rssi,1675255934855721000,d74adea29cf7,rasp0,-53.8,-55
rssi,1675255935359295000,d74adea29cf7,rasp0,-54.4,-57
rssi,1675255935866382000,d74adea29cf7,rasp0,-53.9,-51
rssi,1675255937319401000,d74adea29cf7,rasp0,-53.9,-54
rssi,1675255937821181000,d74adea29cf7,rasp0,-54,-54
rssi,1675255938324367000,d74adea29cf7,rasp0,-53.9,-54
rssi,1675255940351232000,d74adea29cf7,rasp0,-54.3,-55
rssi,1675255940853505000,d74adea29cf7,rasp0,-54.3,-56
rssi,1675255941308947000,d74adea29cf7,rasp0,-54.3,-56
rssi,1675255941809743000,d74adea29cf7,rasp0,-54.2,-50
rssi,1675255942323438000,d74adea29cf7,rasp0,-54.4,-57
rssi,1675255942868782000,d74adea29cf7,rasp0,-54.4,-57
rssi,1675255944022445000,d74adea29cf7,rasp0,-54.9,-56
rssi,1675255944486635000,d74adea29cf7,rasp0,-55,-55
rssi,1675256185333326000,d74adea29cf7,rasp0,-54,-54
rssi,1675256185833037000,d74adea29cf7,rasp0,-55.5,-57
rssi,1675256186306304000,d74adea29cf7,rasp0,-55.333333333333336,-55
rssi,1675256186810377000,d74adea29cf7,rasp0,-55.5,-56
rssi,1675256187321965000,d74adea29cf7,rasp0,-55.4,-55
rssi,1675256187824956000,d74adea29cf7,rasp0,-55.5,-56
rssi,1675256188332193000,d74adea29cf7,rasp0,-55.42857142857143,-55
rssi,1675256189369126000,d74adea29cf7,rasp0,-56,-60
rssi,1675256189837164000,d74adea29cf7,rasp0,-55.888888888888886,-55
rssi,1675256190361610000,d74adea29cf7,rasp0,-55.8,-55
rssi,1675256190882182000,d74adea29cf7,rasp0,-55.9,-55
rssi,1675256191807335000,d74adea29cf7,rasp0,-55.6,-54
rssi,1675256192314982000,d74adea29cf7,rasp0,-55.5,-54
rssi,1675256192810151000,d74adea29cf7,rasp0,-55.7,-58
rssi,1675256193311265000,d74adea29cf7,rasp0,-56.3,-61
rssi,1675256194318302000,d74adea29cf7,rasp0,-56,-53
rssi,1675256194817623000,d74adea29cf7,rasp0,-56.2,-57
