name,time,addr,device,mean,rssi,
rssi,1675253165885812000,d74adea29cf7,rasp0,-65,-65,
rssi,1675253166339585000,d74adea29cf7,rasp0,-65.5,-66,
rssi,1675253166940488000,d74adea29cf7,rasp0,-68.66666667,-75,
rssi,1675253167361994000,d74adea29cf7,rasp0,-67.25,-63,
rssi,1675253168381413000,d74adea29cf7,rasp0,-66.4,-63,
rssi,1675253169417287000,d74adea29cf7,rasp0,-67.83333333,-75,
rssi,1675253169902161000,d74adea29cf7,rasp0,-68,-69,
rssi,1675253170410735000,d74adea29cf7,rasp0,-68.75,-74,
rssi,1675253170921304000,d74adea29cf7,rasp0,-69,-71,
rssi,1675253171381514000,d74adea29cf7,rasp0,-68.7,-66,
rssi,1675253171890063000,d74adea29cf7,rasp0,-70,-78,
rssi,1675253173417162000,d74adea29cf7,rasp0,-69.7,-63,
rssi,1675253173920490000,d74adea29cf7,rasp0,-68.8,-66,
rssi,1675253174457544000,d74adea29cf7,rasp0,-70,-75,
rssi,1675253175023943000,d74adea29cf7,rasp0,-70.9,-72,
rssi,1675253175956236000,d74adea29cf7,rasp0,-69.9,-65,
rssi,1675253176924133000,d74adea29cf7,rasp0,-69.9,-69,
rssi,1675253177426159000,d74adea29cf7,rasp0,-69.2,-67,
rssi,1675253179956695000,d74adea29cf7,rasp0,-68.7,-66,
rssi,1675253180489260000,d74adea29cf7,rasp0,-69.2,-71,
rssi,1675253180977837000,d74adea29cf7,rasp0,-68.3,-69,
rssi,1675253181945735000,d74adea29cf7,rasp0,-68.8,-68,
rssi,1675253182497453000,d74adea29cf7,rasp0,-69.2,-70,
rssi,1675253183973017000,d74adea29cf7,rasp0,-68.6,-69,
rssi,1675253184478138000,d74adea29cf7,rasp0,-68.4,-70,
rssi,1675253184998075000,d74adea29cf7,rasp0,-68.7,-68,
rssi,1675253185489024000,d74adea29cf7,rasp0,-69,-72,
rssi,1675253185998053000,d74adea29cf7,rasp0,-69.3,-70,
rssi,1675253187469135000,d74adea29cf7,rasp0,-69,-63,
rssi,1675253188471643000,d74adea29cf7,rasp0,-68.7,-68,
rssi,1675253188981864000,d74adea29cf7,rasp0,-68.7,-69,
rssi,1675253190038199000,d74adea29cf7,rasp0,-69.2,-73,
rssi,1675253191459762000,d74adea29cf7,rasp0,-69.5,-73,
