name,time,addr,device,mean,rssi
rssi,1675253248912610000,d74adea29cf7,rasp0,-58,-58
rssi,1675253250917816000,d74adea29cf7,rasp0,-65,-72
rssi,1675253251617028000,d74adea29cf7,rasp0,-62.66666667,-58
rssi,1675253252384805000,d74adea29cf7,rasp0,-62,-60
rssi,1675253252886564000,d74adea29cf7,rasp0,-63,-67
rssi,1675253253387699000,d74adea29cf7,rasp0,-63.83333333,-68
rssi,1675253253981733000,d74adea29cf7,rasp0,-64.57142857,-69
rssi,1675253254527636000,d74adea29cf7,rasp0,-64.5,-64
rssi,1675253255401058000,d74adea29cf7,rasp0,-63.88888889,-59
rssi,1675253255906405000,d74adea29cf7,rasp0,-63.7,-62
rssi,1675253258883165000,d74adea29cf7,rasp0,-63.7,-58
rssi,1675253259381104000,d74adea29cf7,rasp0,-63.4,-69
rssi,1675253259889067000,d74adea29cf7,rasp0,-64.4,-68
rssi,1675253261866053000,d74adea29cf7,rasp0,-65.3,-69
rssi,1675253263372704000,d74adea29cf7,rasp0,-64.8,-62
rssi,1675253263875782000,d74adea29cf7,rasp0,-64,-60
rssi,1675253264683367000,d74adea29cf7,rasp0,-64.1,-70
rssi,1675253265502827000,d74adea29cf7,rasp0,-64.6,-69
rssi,1675253266156840000,d74adea29cf7,rasp0,-66,-73
rssi,1675253267878778000,d74adea29cf7,rasp0,-65.9,-61
rssi,1675253270397830000,d74adea29cf7,rasp0,-66,-59
rssi,1675253270904487000,d74adea29cf7,rasp0,-66.6,-75
rssi,1675253271347774000,d74adea29cf7,rasp0,-66.4,-66
rssi,1675253275384288000,d74adea29cf7,rasp0,-67.1,-76
rssi,1675253283987543000,d74adea29cf7,rasp0,-66.9,-60
rssi,1675253284573468000,d74adea29cf7,rasp0,-68.1,-72
rssi,1675253285377491000,d74adea29cf7,rasp0,-67.1,-60
rssi,1675253286967272000,d74adea29cf7,rasp0,-67.3,-71
rssi,1675253287839538000,d74adea29cf7,rasp0,-67.3,-73
rssi,1675253288345283000,d74adea29cf7,rasp0,-67.5,-63
rssi,1675253288853656000,d74adea29cf7,rasp0,-67.8,-62
rssi,1675253289858266000,d74adea29cf7,rasp0,-66.3,-60
rssi,1675253290366139000,d74adea29cf7,rasp0,-66.7,-70
rssi,1675253292340528000,d74adea29cf7,rasp0,-64.9,-58
rssi,1675253293859623000,d74adea29cf7,rasp0,-66.4,-75
rssi,1675253294871283000,d74adea29cf7,rasp0,-65.1,-59
rssi,1675253295880816000,d74adea29cf7,rasp0,-65,-59
rssi,1675253296839507000,d74adea29cf7,rasp0,-63.9,-60
rssi,1675253299368991000,d74adea29cf7,rasp0,-62.7,-61
rssi,1675253300373192000,d74adea29cf7,rasp0,-62.4,-60
rssi,1675253300875033000,d74adea29cf7,rasp0,-63.6,-74
