name,time,addr,device,mean,rssi
rssi,1676036884655978000,d74adea29cf7,rasp0,-75,-75
rssi,1676036887133691000,d74adea29cf7,rasp0,-75,-75
rssi,1676036888153145000,d74adea29cf7,rasp0,-75,-75
rssi,1676036888676669000,d74adea29cf7,rasp0,-73.75,-70
rssi,1676036891624858000,d74adea29cf7,rasp0,-73.4,-72
rssi,1676036893135327000,d74adea29cf7,rasp0,-73.5,-74
rssi,1676036894185316000,d74adea29cf7,rasp0,-73.85714285714286,-76
rssi,1676036895659999000,d74adea29cf7,rasp0,-73.5,-71
rssi,1676036898677632000,d74adea29cf7,rasp0,-74.77777777777777,-85
rssi,1676036899233473000,d74adea29cf7,rasp0,-75.8,-85
rssi,1676036900153557000,d74adea29cf7,rasp0,-75.9,-76
rssi,1676036900662306000,d74adea29cf7,rasp0,-76.8,-84
rssi,1676036901163522000,d74adea29cf7,rasp0,-76.2,-69
rssi,1676036901628880000,d74adea29cf7,rasp0,-76.4,-72
rssi,1676036902274400000,d74adea29cf7,rasp0,-77,-78
rssi,1676036903135403000,d74adea29cf7,rasp0,-78.8,-92
rssi,1676036906155765000,d74adea29cf7,rasp0,-78.5,-73
rssi,1676036908136080000,d74adea29cf7,rasp0,-79.2,-78
rssi,1676036910158930000,d74adea29cf7,rasp0,-78.5,-78
rssi,1676036914150656000,d74adea29cf7,rasp0,-77.2,-72
rssi,1676036915164512000,d74adea29cf7,rasp0,-76.9,-73
rssi,1676036918710650000,d74adea29cf7,rasp0,-76,-75
rssi,1676036921166041000,d74adea29cf7,rasp0,-77.5,-84
rssi,1676036921620761000,d74adea29cf7,rasp0,-77.6,-73
rssi,1676036922623729000,d74adea29cf7,rasp0,-77.4,-76
rssi,1676036924139746000,d74adea29cf7,rasp0,-75.2,-70
rssi,1676036925662604000,d74adea29cf7,rasp0,-74.6,-67
rssi,1676036926628184000,d74adea29cf7,rasp0,-74,-72
rssi,1676036928133415000,d74adea29cf7,rasp0,-74.4,-82
rssi,1676036929148849000,d74adea29cf7,rasp0,-74.5,-73
rssi,1676036930159038000,d74adea29cf7,rasp0,-74.5,-73
rssi,1676036933644099000,d74adea29cf7,rasp0,-74.3,-73
rssi,1676036937621430000,d74adea29cf7,rasp0,-73.3,-74
rssi,1676036940243075000,d74adea29cf7,rasp0,-73.7,-77
rssi,1676036944661035000,d74adea29cf7,rasp0,-73.7,-76
rssi,1676036945260260000,d74adea29cf7,rasp0,-74.1,-74
rssi,1676036956155750000,d74adea29cf7,rasp0,-70,-70
rssi,1676036957623639000,d74adea29cf7,rasp0,-72,-74
rssi,1676036958130543000,d74adea29cf7,rasp0,-72.33333333333333,-73
rssi,1676036960151150000,d74adea29cf7,rasp0,-75.75,-86
rssi,1676036961618080000,d74adea29cf7,rasp0,-74.4,-69
rssi,1676036962127239000,d74adea29cf7,rasp0,-74,-72
rssi,1676036963641358000,d74adea29cf7,rasp0,-73.57142857142857,-71
rssi,1676036973705502000,d74adea29cf7,rasp0,-96,-96
rssi,1676036974650037000,d74adea29cf7,rasp0,-81.5,-67
rssi,1676036975658727000,d74adea29cf7,rasp0,-80.33333333333333,-78
rssi,1676036977130277000,d74adea29cf7,rasp0,-77.5,-69
rssi,1676037311139629000,d74adea29cf7,rasp0,-77,-77
rssi,1676037312071565000,d74adea29cf7,rasp0,-74.5,-72
rssi,1676037312577802000,d74adea29cf7,rasp0,-74.33333333333333,-74
rssi,1676037313592375000,d74adea29cf7,rasp0,-75,-77
rssi,1676037320115331000,d74adea29cf7,rasp0,-78,-90
rssi,1676037321588779000,d74adea29cf7,rasp0,-77.83333333333333,-77
rssi,1676037334085490000,d74adea29cf7,rasp0,-78.28571428571429,-81
rssi,1676037334665203000,d74adea29cf7,rasp0,-78.5,-80
rssi,1676037335634240000,d74adea29cf7,rasp0,-78.33333333333333,-77
rssi,1676037336557698000,d74adea29cf7,rasp0,-78.4,-79
rssi,1676037338572518000,d74adea29cf7,rasp0,-79.6,-89
rssi,1676037339575852000,d74adea29cf7,rasp0,-81.1,-87
rssi,1676037342065847000,d74adea29cf7,rasp0,-81.6,-79
rssi,1676037344585700000,d74adea29cf7,rasp0,-81.5,-76
rssi,1676037345087897000,d74adea29cf7,rasp0,-80.4,-79
rssi,1676037348075680000,d74adea29cf7,rasp0,-80.2,-75
rssi,1676037348585800000,d74adea29cf7,rasp0,-79.8,-77
rssi,1676037349096346000,d74adea29cf7,rasp0,-79.5,-77
rssi,1676037386130317000,d74adea29cf7,rasp0,-80.1,-83
rssi,1676037386669823000,d74adea29cf7,rasp0,-80.1,-79
rssi,1676037394191727000,d74adea29cf7,rasp0,-79.9,-87
rssi,1676037402105449000,d74adea29cf7,rasp0,-79.4,-82
rssi,1676037402615041000,d74adea29cf7,rasp0,-79.5,-80
rssi,1676037404628631000,d74adea29cf7,rasp0,-79.8,-79
rssi,1676037415188861000,d74adea29cf7,rasp0,-79.6,-77
rssi,1676037418126864000,d74adea29cf7,rasp0,-80,-79
rssi,1676037419642649000,d74adea29cf7,rasp0,-80.3,-80
rssi,1676037421618620000,d74adea29cf7,rasp0,-80.3,-77
rssi,1676037431176935000,d74adea29cf7,rasp0,-79.9,-79
rssi,1676037431744491000,d74adea29cf7,rasp0,-79.9,-79
rssi,1676037437640961000,d74adea29cf7,rasp0,-78.9,-77
rssi,1676037438147635000,d74adea29cf7,rasp0,-78.6,-79
rssi,1676037438648225000,d74adea29cf7,rasp0,-79.8,-92
rssi,1676037441174993000,d74adea29cf7,rasp0,-79.4,-75
rssi,1676037442122433000,d74adea29cf7,rasp0,-79.6,-79
rssi,1676037451634297000,d74adea29cf7,rasp0,-80.8,-91
rssi,1676037458152368000,d74adea29cf7,rasp0,-80.8,-80
rssi,1676037461173363000,d74adea29cf7,rasp0,-82,-89
rssi,1676037464160766000,d74adea29cf7,rasp0,-83.4,-93
rssi,1676037464662377000,d74adea29cf7,rasp0,-84.6,-91
rssi,1676037465667375000,d74adea29cf7,rasp0,-85,-81
rssi,1676037466331620000,d74adea29cf7,rasp0,-85,-79
rssi,1676037469187580000,d74adea29cf7,rasp0,-83.5,-77
rssi,1676037747798277000,d74adea29cf7,rasp0,-70,-70
rssi,1676037748003130000,d74adea29cf7,rasp0,-72.5,-75
rssi,1676037748513037000,d74adea29cf7,rasp0,-72.33333333333333,-72
rssi,1676037751043770000,d74adea29cf7,rasp0,-73,-75
rssi,1676037751496035000,d74adea29cf7,rasp0,-74.2,-79
rssi,1676037753004507000,d74adea29cf7,rasp0,-74.66666666666667,-77
rssi,1676037753511229000,d74adea29cf7,rasp0,-73.71428571428571,-68
rssi,1676037754020085000,d74adea29cf7,rasp0,-73.875,-75
rssi,1676037754525161000,d74adea29cf7,rasp0,-74,-75
rssi,1676037755034479000,d74adea29cf7,rasp0,-74.2,-76
rssi,1676037756998290000,d74adea29cf7,rasp0,-74.8,-76
rssi,1676037757500956000,d74adea29cf7,rasp0,-75.1,-78
rssi,1676037759015513000,d74adea29cf7,rasp0,-75.8,-79
rssi,1676037759525333000,d74adea29cf7,rasp0,-76,-77
rssi,1676037760543768000,d74adea29cf7,rasp0,-76.1,-80
rssi,1676037761051200000,d74adea29cf7,rasp0,-76.2,-78
rssi,1676037761563717000,d74adea29cf7,rasp0,-77,-76
rssi,1676037763519823000,d74adea29cf7,rasp0,-76.5,-70
rssi,1676037764530714000,d74adea29cf7,rasp0,-76.6,-76
rssi,1676037766042697000,d74adea29cf7,rasp0,-76.8,-78
rssi,1676037766494329000,d74adea29cf7,rasp0,-76.9,-77
rssi,1676037767016633000,d74adea29cf7,rasp0,-76.8,-77
rssi,1676037767524165000,d74adea29cf7,rasp0,-76.5,-76
rssi,1676037768511235000,d74adea29cf7,rasp0,-76.4,-76
rssi,1676037769018316000,d74adea29cf7,rasp0,-76.5,-81
rssi,1676037770030016000,d74adea29cf7,rasp0,-76.6,-79
rssi,1676037771046145000,d74adea29cf7,rasp0,-76.8,-78
rssi,1676037773523672000,d74adea29cf7,rasp0,-77.4,-76
rssi,1676037774033751000,d74adea29cf7,rasp0,-77.7,-79
rssi,1676037775681599000,d74adea29cf7,rasp0,-77.8,-79
rssi,1676037779555640000,d74adea29cf7,rasp0,-79,-89
rssi,1676037780015698000,d74adea29cf7,rasp0,-78.9,-76
rssi,1676037786028113000,d74adea29cf7,rasp0,-79.8,-85
rssi,1676037788511587000,d74adea29cf7,rasp0,-80.8,-86
rssi,1676037789516301000,d74adea29cf7,rasp0,-81.7,-90
rssi,1676037791982677000,d74adea29cf7,rasp0,-81.2,-74
rssi,1676037792991808000,d74adea29cf7,rasp0,-81.5,-81
rssi,1676037794506200000,d74adea29cf7,rasp0,-81.5,-76
rssi,1676037795518944000,d74adea29cf7,rasp0,-81,-74
rssi,1676037796584247000,d74adea29cf7,rasp0,-80.9,-78
rssi,1676037796983118000,d74adea29cf7,rasp0,-80.2,-82
rssi,1676037799578347000,d74adea29cf7,rasp0,-81.5,-89
rssi,1676037800515923000,d74adea29cf7,rasp0,-81.7,-87
rssi,1676037802595680000,d74adea29cf7,rasp0,-80.5,-74
rssi,1676037802994521000,d74adea29cf7,rasp0,-79.3,-78
rssi,1676037803501196000,d74adea29cf7,rasp0,-79,-71
