name,time,addr,device,mean,rssi
rssi,1676031001636252000,d74adea29cf7,rasp0,-75,-75
rssi,1676031002137680000,d74adea29cf7,rasp0,-75,-75
rssi,1676031005157890000,d74adea29cf7,rasp0,-73,-69
rssi,1676031006169092000,d74adea29cf7,rasp0,-72.75,-72
rssi,1676031007137702000,d74adea29cf7,rasp0,-72.2,-70
rssi,1676031009663591000,d74adea29cf7,rasp0,-72,-71
rssi,1676031010172712000,d74adea29cf7,rasp0,-73.71428571428571,-84
rssi,1676031012151965000,d74adea29cf7,rasp0,-75.375,-87
rssi,1676031013154614000,d74adea29cf7,rasp0,-75.11111111111111,-73
rssi,1676031013656353000,d74adea29cf7,rasp0,-74.9,-73
rssi,1676031015688103000,d74adea29cf7,rasp0,-74.9,-75
rssi,1676031016644034000,d74adea29cf7,rasp0,-74.8,-74
rssi,1676031018659774000,d74adea29cf7,rasp0,-76.7,-88
rssi,1676031019667104000,d74adea29cf7,rasp0,-77.9,-84
rssi,1676031022151485000,d74adea29cf7,rasp0,-78.1,-72
rssi,1676031023156400000,d74adea29cf7,rasp0,-78.2,-72
rssi,1676031023658261000,d74adea29cf7,rasp0,-76.9,-71
rssi,1676031024162630000,d74adea29cf7,rasp0,-75.4,-72
rssi,1676031025178291000,d74adea29cf7,rasp0,-75,-69
rssi,1676031026185956000,d74adea29cf7,rasp0,-74.6,-69
rssi,1676031027666438000,d74adea29cf7,rasp0,-74.2,-71
rssi,1676031031211688000,d74adea29cf7,rasp0,-75.5,-87
rssi,1676031031652072000,d74adea29cf7,rasp0,-74,-73
rssi,1676031033678507000,d74adea29cf7,rasp0,-73,-74
rssi,1676031035205425000,d74adea29cf7,rasp0,-73.6,-78
rssi,1676031035714023000,d74adea29cf7,rasp0,-74.1,-77
rssi,1676031036218511000,d74adea29cf7,rasp0,-74.4,-74
rssi,1676031040194219000,d74adea29cf7,rasp0,-74.4,-72
rssi,1676031041654089000,d74adea29cf7,rasp0,-74.3,-68
rssi,1676031043254199000,d74adea29cf7,rasp0,-74.6,-72
rssi,1676031043670284000,d74adea29cf7,rasp0,-74.6,-71
rssi,1676031044175248000,d74adea29cf7,rasp0,-72.9,-70
rssi,1676031045743558000,d74adea29cf7,rasp0,-73,-74
rssi,1676031046653608000,d74adea29cf7,rasp0,-73.2,-76
rssi,1676031047658975000,d74adea29cf7,rasp0,-72.8,-74
rssi,1676031048161262000,d74adea29cf7,rasp0,-72.6,-75
rssi,1676031050177309000,d74adea29cf7,rasp0,-72.6,-74
rssi,1676031051248125000,d74adea29cf7,rasp0,-72.6,-72
rssi,1676031051738208000,d74adea29cf7,rasp0,-73.1,-73
rssi,1676031055210010000,d74adea29cf7,rasp0,-73.9,-80
rssi,1676031055718305000,d74adea29cf7,rasp0,-74.4,-76
rssi,1676031057796489000,d74adea29cf7,rasp0,-75.2,-78
rssi,1676031058852214000,d74adea29cf7,rasp0,-76,-82
rssi,1676031059178656000,d74adea29cf7,rasp0,-76.4,-80
