name,time,addr,device,mean,rssi
rssi,1676034464185369000,d74adea29cf7,rasp0,-68,-68
rssi,1676034465689730000,d74adea29cf7,rasp0,-62,-56
rssi,1676034466190552000,d74adea29cf7,rasp0,-59.666666666666664,-55
rssi,1676034466669775000,d74adea29cf7,rasp0,-58.5,-55
rssi,1676034468700375000,d74adea29cf7,rasp0,-57.8,-55
rssi,1676034469200597000,d74adea29cf7,rasp0,-59.5,-68
rssi,1676034469810818000,d74adea29cf7,rasp0,-58.857142857142854,-55
rssi,1676034470301696000,d74adea29cf7,rasp0,-58.25,-54
rssi,1676034470719537000,d74adea29cf7,rasp0,-57.666666666666664,-53
rssi,1676034471246402000,d74adea29cf7,rasp0,-59,-71
rssi,1676034472178728000,d74adea29cf7,rasp0,-58.4,-62
rssi,1676034472688714000,d74adea29cf7,rasp0,-58.3,-55
rssi,1676034473187369000,d74adea29cf7,rasp0,-59.1,-63
rssi,1676034473691036000,d74adea29cf7,rasp0,-59,-54
rssi,1676034474693151000,d74adea29cf7,rasp0,-58.7,-52
rssi,1676034475263364000,d74adea29cf7,rasp0,-57.3,-54
rssi,1676034476225440000,d74adea29cf7,rasp0,-58.6,-68
rssi,1676034476668265000,d74adea29cf7,rasp0,-58.5,-53
rssi,1676034477174363000,d74adea29cf7,rasp0,-59.2,-60
rssi,1676034477758202000,d74adea29cf7,rasp0,-57.3,-52
rssi,1676034478186827000,d74adea29cf7,rasp0,-56.3,-52
rssi,1676034478694107000,d74adea29cf7,rasp0,-56,-52
rssi,1676034480718931000,d74adea29cf7,rasp0,-56.4,-67
rssi,1676034481826743000,d74adea29cf7,rasp0,-56.2,-52
rssi,1676034482393225000,d74adea29cf7,rasp0,-57.1,-61
rssi,1676034482679521000,d74adea29cf7,rasp0,-57,-53
rssi,1676034483186452000,d74adea29cf7,rasp0,-55.8,-56
rssi,1676034483689615000,d74adea29cf7,rasp0,-56.2,-57
rssi,1676034484201071000,d74adea29cf7,rasp0,-56.1,-59
rssi,1676034484732653000,d74adea29cf7,rasp0,-56.4,-55
rssi,1676034485715633000,d74adea29cf7,rasp0,-56.7,-55
rssi,1676034487179742000,d74adea29cf7,rasp0,-57.2,-57
rssi,1676034487686014000,d74adea29cf7,rasp0,-56.1,-56
rssi,1676034488706446000,d74adea29cf7,rasp0,-56.6,-57
rssi,1676034490258925000,d74adea29cf7,rasp0,-56.2,-57
rssi,1676034491846660000,d74adea29cf7,rasp0,-56.3,-54
rssi,1676034492260418000,d74adea29cf7,rasp0,-56.1,-54
rssi,1676034493197224000,d74adea29cf7,rasp0,-55.7,-53
rssi,1676034493708959000,d74adea29cf7,rasp0,-55.8,-60
rssi,1676034494259431000,d74adea29cf7,rasp0,-55.7,-54
rssi,1676034495887365000,d74adea29cf7,rasp0,-55.6,-54
rssi,1676034496240753000,d74adea29cf7,rasp0,-56,-61
rssi,1676034497176523000,d74adea29cf7,rasp0,-56,-56
rssi,1676034497682795000,d74adea29cf7,rasp0,-55.7,-54
